,Stamps
0,1600682338.6018445
1,1600682338.799316
2,1600682338.9959958
3,1600682339.1978874
4,1600682339.3954442
5,1600682339.5919342
6,1600682339.7912526
7,1600682339.9870439
8,1600682340.187072
9,1600682340.3901317
10,1600682340.4582107
11,1600682340.4757004
12,1600682340.4795587
13,1600682340.4904213
14,1600682340.5050826
15,1600682340.5114598
16,1600682340.521867
17,1600682340.5322788
18,1600682340.5433967
19,1600682340.5545053
20,1600682340.5647733
21,1600682340.579424
22,1600682340.5867035
23,1600682340.5961683
24,1600682340.6103537
25,1600682340.6169982
26,1600682340.6272976
27,1600682340.6372426
28,1600682340.6473682
29,1600682340.6574647
30,1600682340.667776
31,1600682340.6780262
32,1600682340.688327
33,1600682340.6985817
34,1600682340.71472
35,1600682340.720741
36,1600682340.7288947
37,1600682340.7391796
38,1600682340.7493482
39,1600682340.7594168
40,1600682340.7695785
41,1600682340.7825043
42,1600682340.7897978
43,1600682340.8001862
44,1600682340.8150964
45,1600682340.8201485
46,1600682340.8303685
47,1600682340.8404963
48,1600682340.851319
49,1600682340.8605905
50,1600682340.8707256
51,1600682340.8829062
52,1600682340.8909614
53,1600682340.9010367
54,1600682340.9111266
55,1600682340.9213376
56,1600682340.9312332
57,1600682340.9413893
58,1600682340.951666
59,1600682340.961447
60,1600682340.9718244
61,1600682340.9841397
62,1600682340.991707
63,1600682341.0017862
64,1600682341.0188346
65,1600682341.021749
66,1600682341.0319192
67,1600682341.0419827
68,1600682341.0524907
69,1600682341.0628276
70,1600682341.0736208
71,1600682341.088217
72,1600682341.093813
73,1600682341.104325
74,1600682341.120923
75,1600682341.1284258
76,1600682341.135391
77,1600682341.1459076
78,1600682341.1558814
79,1600682341.1659596
80,1600682341.1759863
81,1600682341.1874719
82,1600682341.1962636
83,1600682341.206456
84,1600682341.2242467
85,1600682341.2271492
86,1600682341.2373264
87,1600682341.247456
88,1600682341.2582808
89,1600682341.270296
90,1600682341.28178
91,1600682341.2947874
92,1600682341.303158
93,1600682341.31366
94,1600682341.3343532
95,1600682341.335155
96,1600682341.3454094
97,1600682341.3555236
98,1600682341.366108
99,1600682341.376417
100,1600682341.386378
101,1600682341.4007003
102,1600682341.4070861
103,1600682341.417448
104,1600682341.4348938
105,1600682341.4379742
106,1600682341.4482594
107,1600682341.458358
108,1600682341.4691644
109,1600682341.4792845
110,1600682341.4894903
111,1600682341.5021408
112,1600682341.511068
113,1600682341.5214236
114,1600682341.5371022
115,1600682341.5416963
116,1600682341.5517125
117,1600682341.56183
118,1600682341.5720394
119,1600682341.5823622
120,1600682341.592494
121,1600682341.608775
122,1600682341.6130114
123,1600682341.6231554
124,1600682341.633297
125,1600682341.6433237
