,topics,start-time,start-epoch,end-time,end-epoch,med-frequency,mean-frequency
0,/clock,1600682338.402246,2020-09-21 06:58:58,1600682389.5132651,2020-09-21 06:59:49,9.94,9.92
1,/cones/positions,1600682338.6016898,2020-09-21 06:58:58,1600682389.5241716,2020-09-21 06:59:49,29.59,27.55
2,/gazebo/cmd_vel,1600682338.609641,2020-09-21 06:58:58,1600682389.5217109,2020-09-21 06:59:49,29.44,27.54
3,/gazebo/odom,1600682338.6018445,2020-09-21 06:58:58,1600682389.5226831,2020-09-21 06:59:49,98.11,89.18
4,/rosout,1600682344.098977,2020-09-21 06:59:04,1600682344.098977,2020-09-21 06:59:04,,
