,topics,start-time,start-epoch,end-time,end-epoch,med-frequency,mean-frequency
0,/amcl_pose/in_world,1654152606.4811647,2022-06-02 03:50:06,1654153263.744684,2022-06-02 04:01:03,0.39,0.3
1,/pans/pose,1654152623.8175983,2022-06-02 03:50:23,1654153280.4960945,2022-06-02 04:01:20,10.02,10.0
2,/rloc_pose,1654152621.0359905,2022-06-02 03:50:21,1654153280.524613,2022-06-02 04:01:20,147.69,99.84
