,Stamps
0,1597400474.6794512
1,1597400474.6796238
2,1597400474.7079248
3,1597400474.7530353
4,1597400474.7738247
5,1597400474.8156228
6,1597400474.8317826
7,1597400474.8645852
8,1597400474.9006925
9,1597400474.932611
10,1597400474.9621
11,1597400474.9942107
12,1597400475.0382855
13,1597400475.0682902
14,1597400475.0982435
15,1597400475.1298862
16,1597400475.1709938
17,1597400475.2000837
18,1597400475.22976
19,1597400475.2799406
20,1597400475.592054
21,1597400475.6196442
22,1597400475.6487188
23,1597400475.6691444
24,1597400475.6898932
25,1597400475.704592
26,1597400475.728854
27,1597400475.765228
28,1597400475.7829697
29,1597400475.8029761
30,1597400475.8246796
31,1597400475.8400192
32,1597400475.8588798
33,1597400475.8733275
34,1597400475.8943284
35,1597400475.9098701
36,1597400475.9298952
37,1597400475.945053
38,1597400475.963758
39,1597400475.9781337
40,1597400475.997635
41,1597400476.01245
42,1597400476.0393834
43,1597400476.0724852
44,1597400476.1138985
45,1597400476.1473866
46,1597400476.177258
47,1597400476.209979
48,1597400476.2371283
49,1597400476.2732491
50,1597400476.3102324
51,1597400476.3461607
52,1597400476.3689804
53,1597400476.4114015
54,1597400476.55351
55,1597400476.5969386
56,1597400476.5973597
57,1597400476.597698
58,1597400476.5980265
59,1597400476.616773
60,1597400476.6511724
61,1597400476.676869
62,1597400476.7151546
63,1597400476.7438517
64,1597400476.7748117
65,1597400476.814262
66,1597400476.846163
67,1597400476.8784866
68,1597400476.9142773
69,1597400476.9434752
70,1597400476.9767435
71,1597400477.0161734
72,1597400477.051671
73,1597400477.0868309
74,1597400477.1117287
75,1597400477.1529045
76,1597400477.1859117
77,1597400477.2201643
78,1597400477.2499993
79,1597400477.2828412
80,1597400477.3171163
81,1597400477.356211
82,1597400477.3799627
83,1597400477.4236495
84,1597400477.4541123
85,1597400477.491975
86,1597400477.5198882
87,1597400477.5558531
88,1597400477.5852973
89,1597400477.6235251
90,1597400477.6548078
91,1597400477.6910691
92,1597400477.722194
93,1597400477.7564394
94,1597400477.792731
95,1597400477.8238766
96,1597400477.855974
97,1597400477.885661
98,1597400477.9294505
99,1597400477.9570339
100,1597400477.9923272
101,1597400478.038217
102,1597400478.0570793
103,1597400478.0905974
104,1597400478.1239386
105,1597400478.1625195
106,1597400478.296613
107,1597400478.3386872
108,1597400478.338964
109,1597400478.3391945
110,1597400478.3394241
111,1597400478.3575625
112,1597400478.3997557
113,1597400478.4285672
114,1597400478.4657826
115,1597400478.4961972
116,1597400478.5332487
117,1597400478.5697415
118,1597400478.607305
119,1597400478.631365
120,1597400478.6712108
121,1597400478.7094007
122,1597400478.7302933
123,1597400478.7676044
124,1597400478.7989147
125,1597400478.837797
126,1597400478.875717
127,1597400478.9028308
128,1597400478.9413111
129,1597400478.9623942
130,1597400479.0080774
131,1597400479.037185
132,1597400479.0703616
133,1597400479.106413
134,1597400479.1484635
135,1597400479.1690364
136,1597400479.2071264
137,1597400479.238206
138,1597400479.273499
139,1597400479.3082883
140,1597400479.3340988
141,1597400479.3755982
142,1597400479.4002562
143,1597400479.4383194
144,1597400479.475271
145,1597400479.506814
146,1597400479.5389395
147,1597400479.5703163
148,1597400479.6062803
149,1597400479.6540332
150,1597400479.6755052
151,1597400479.7181668
152,1597400479.741385
153,1597400479.7760696
154,1597400479.8144472
155,1597400479.8517377
156,1597400480.0135207
157,1597400480.0555885
158,1597400480.0557559
159,1597400480.0558965
160,1597400480.056037
161,1597400480.0561767
162,1597400480.0802898
163,1597400480.1275795
164,1597400480.1509752
165,1597400480.1741486
166,1597400480.2171519
167,1597400480.2520535
168,1597400480.2766492
169,1597400480.3152344
170,1597400480.3493123
171,1597400480.3775449
172,1597400480.4181921
