,topics,start-time,end-time,med-frequency,mean-frequency
0,/clock,1597400474.7674685,1597400625.6319788,9.95,9.96
1,/cones/positions,1597400474.6794512,1597400625.6289575,30.09,29.63
2,/gazebo/cmd_vel,1597400474.7136564,1597400625.637792,30.53,29.62
3,/gazebo/link_states,1597400474.725431,1597400625.611026,29.21,29.05
4,/gazebo/odom,1597400474.7010825,1597400625.6389186,99.32,93.37
